No.,입고일,거래처,거래처명,품목군,품목코드,품목정보,구분,입고구분,매입구분,화폐,입고량,단가,금액,환율,환산금액,정산구분,정산수량,입고창고,입고전표번호,접수번호,DO번호,비고,사업장,최종수정자,최종수정일시,등록프로그램
904.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCB-B683-04,TAB S9 FE REAR BODY 도장 ◈ (UT 3COAT) ◈ (LIGHT PINK),정상,외주가공,국내,KRW,5000,112.0,560000,1.0,560000,정산완료,5000.0,제품창고,O1202401310027,PA202401310036,DO202401310044,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
905.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCM-B682-02,TAB S9 FE FRONT BODY 레이저 ◈ (삼성 로고 레이저) ◈ (GRAY),정상,외주가공,국내,KRW,12000,775.0,9300000,1.0,9300000,정산완료,12000.0,제품창고,O1202401310061,PA202401310037,DO202401310040,,㈜삼광,김태완,20240131170226.0,수입검사등록확인
906.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCM-B682-02,TAB S9 FE FRONT BODY 레이저 ◈ (삼성 로고 레이저) ◈ (GRAY),정상,외주가공,국내,KRW,12000,775.0,9300000,1.0,9300000,정산완료,12000.0,제품창고,O1202401310060,PA202401300029,DO202401300033,,㈜삼광,김태완,20240131170226.0,수입검사등록확인
907.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCM-B682-03,TAB S9 FE FRONT BODY 인쇄 ◈ (하도 인쇄) ◈ (LIGHT GREEN),정상,외주가공,국내,KRW,4549,835.0,3798415,1.0,3798415,정산완료,4549.0,제품창고,O1202401310086,PA202401310048,DO202402010072,,㈜삼광,김태완,20240201160138.0,수입검사등록확인
908.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCM-B682-03,TAB S9 FE FRONT BODY 인쇄 ◈ (하도 인쇄) ◈ (LIGHT GREEN),정상,외주가공,국내,KRW,6000,835.0,5010000,1.0,5010000,정산완료,6000.0,제품창고,O1202401310062,PA202401300032,DO202401300036,,㈜삼광,김태완,20240131170226.0,수입검사등록확인
909.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCM-B682-04,TAB S9 FE FRONT BODY 인쇄 ◈ (하도 인쇄) ◈ (LIGHT PINK),정상,외주가공,국내,KRW,1784,835.0,1489640,1.0,1489640,정산완료,1784.0,제품창고,O1202401310087,PA202401310048,DO202402010073,,㈜삼광,김태완,20240201160138.0,수입검사등록확인
910.0,20240131.0,1027.0,태령기업,TAB S9 FE,PCM-B682-04,TAB S9 FE FRONT BODY 인쇄 ◈ (하도 인쇄) ◈ (LIGHT PINK),정상,외주가공,국내,KRW,5400,835.0,4509000,1.0,4509000,정산완료,5400.0,제품창고,O1202401310063,PA202401310038,DO202401310043,,㈜삼광,김태완,20240131170226.0,수입검사등록확인
911.0,20240131.0,1027.0,태령기업,TAB S9 FE ,PNO-A509-02,TAB S9 FE KNOB 도장 ◈ (UT 3COAT) ◈ (GRAY),정상,외주가공,국내,KRW,10000,130.0,1300000,1.0,1300000,정산완료,10000.0,제품창고,O1202401310030,PA202401310039,DO202401310042,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
912.0,20240131.0,1027.0,태령기업,TAB S9 FE ,PNO-A509-02,TAB S9 FE KNOB 도장 ◈ (UT 3COAT) ◈ (GRAY),정상,외주가공,국내,KRW,10000,130.0,1300000,1.0,1300000,정산완료,10000.0,제품창고,O1202401310029,PA202401300031,DO202401300035,,㈜삼광,품질공용,20240131161736.0,수입검사등록확인
913.0,20240131.0,1027.0,태령기업,TAB S9 FE ,PNO-A509-03,TAB S9 FE KNOB 도장 ◈ (UT 3COAT) ◈ (LIGHT GREEN),정상,외주가공,국내,KRW,69,130.0,8970,1.0,8970,정산완료,69.0,제품창고,O1202401310089,PA202401310048,DO202402010075,,㈜삼광,김태완,20240201160138.0,수입검사등록확인
